ID;yyyy;mm;tmax;tmin;af;rain;sun
1;1853;1;8,4;2,7;4;62,8;
2;1853;2;3,2;-1,8;19;29,3;
3;1853;3;7,7;-0,6;20;25,9;
4;1853;4;12,6;4,5;0;60,1;
5;1853;5;16,8;6,1;0;59,5;
6;1853;6;20,1;10,7;0;82;
7;1853;7;21,2;12,2;0;86,2;
8;1853;8;20,2;10,8;0;72,3;
9;1853;9;17,3;8,4;0;51,3;
10;1853;10;13,9;7,4;0;102,3;
11;1853;11;8,7;2,3;10;49,6;
12;1853;12;3,7;-1,3;19;10,7;
13;1854;1;6,7;1,5;11;54,5;
14;1854;2;8;0,6;12;22,6;
15;1854;3;11,2;2,2;8;10,6;
16;1854;4;15;3,5;2;19,9;
17;1854;5;16,2;5,7;1;82,1;
18;1854;6;18,6;9,7;0;45,2;
19;1854;7;21,7;11,6;0;37,2;
20;1854;8;20,9;10,7;0;45,4;
21;1854;9;20,2;8,4;0;11,4;
22;1854;10;13,9;5,6;2;57,7;
23;1854;11;8,2;2;5;32,4;
24;1854;12;8,3;2,1;8;30,7;
25;1855;1;4,4;-0,4;18;6,9;
26;1855;2;1,7;-4,5;20;33,7;
27;1855;3;7,7;0,1;15;56;
28;1855;4;13;2,7;9;10,6;
29;1855;5;15;4,9;3;45,1;
30;1855;6;19,4;9,3;0;60;
31;1855;7;22,8;13,4;0;129,3;
32;1855;8;21,7;12,2;0;42,6;
33;1855;9;19;10,4;0;59,7;
34;1855;10;14;8,2;0;143,1;
35;1855;11;7,9;3,4;4;25,2;
36;1855;12;5,7;-0,1;13;28,1;
37;1856;1;6,8;2;10;74,7;
38;1856;2;8,2;3;8;33,4;
39;1856;3;7,9;0,6;11;23,9;
40;1856;4;12,9;4,1;2;64,9;
41;1856;5;14;5,7;2;110,1;
42;1856;6;20,2;9,5;0;64,8;
43;1856;7;22,2;11,3;0;15,8;
44;1856;8;22,7;12,5;0;81,8;
45;1856;9;16,8;8,5;0;80,3;
46;1856;10;13,9;6,9;1;60,3;
47;1856;11;8,1;2,3;8;24,2;
48;1856;12;7,3;1,4;12;52;
49;1857;1;5,1;-0,6;17;80,7;
50;1857;2;7,6;0,4;11;8,2;
51;1857;3;9,1;1,8;10;39,2;
52;1857;4;11,9;3,7;3;51,3;
53;1857;5;16,5;6,3;4;30,3;
54;1857;6;22;10,6;0;77;
55;1857;7;22;12,7;0;80,5;
56;1857;8;22,8;13,2;0;93,5;
57;1857;9;19;11,2;0;99;
58;1857;10;14,6;7,8;0;116,3;
59;1857;11;10,2;4,5;2;42,6;
60;1857;12;9,6;4,5;3;16,8;
61;1858;1;6,4;-0,1;20;17,3;
62;1858;2;4,7;-1,2;18;45;
63;1858;3;9,4;1,1;12;20,4;
64;1858;4;13,1;4;2;90,1;
65;1858;5;15,9;6,2;0;59,5;
66;1858;6;23,6;11,9;0;40,4;
67;1858;7;20,8;10,6;0;58,3;
68;1858;8;21,4;11,3;0;36,4;
69;1858;9;19,5;11,2;0;63,4;
70;1858;10;13,4;6,9;0;50,4;
71;1858;11;7,4;0,8;12;17,9;
72;1858;12;7,2;2,4;2;54,5;
73;1859;1;7,5;1,8;9;20,8;
74;1859;2;9,4;2,7;5;43,1;
75;1859;3;11,2;4,7;4;38,2;
76;1859;4;12,3;3,5;8;63,9;
77;1859;5;16,6;6,7;0;47,3;
78;1859;6;20,7;11,1;0;57,4;
79;1859;7;25,1;13,7;0;71,2;
80;1859;8;21,8;12,5;0;97,2;
81;1859;9;17,4;9,4;0;89,8;
82;1859;10;13,7;6,6;6;76,3;
83;1859;11;8,5;1,5;8;52,8;
84;1859;12;5;-1,1;14;46,6;
85;1860;1;6,8;0,8;12;82,8;
86;1860;2;5,2;-1,6;20;32,6;
87;1860;3;8,4;1,9;8;48,4;
88;1860;4;10,6;1,7;5;14,8;
89;1860;5;17;7,7;0;70,9;
90;1860;6;17;9,5;0;129,8;
91;1860;7;19,3;10,3;0;60,8;
92;1860;8;17,9;10,9;0;96,7;
93;1860;9;15,6;7;0;64;
94;1860;10;13,4;7,3;1;39,9;
95;1860;11;7,4;2,1;2;82,1;
96;1860;12;4,4;0;0;66,6;
97;1861;1;3,8;-0,7;16;16,8;
98;1861;2;7,9;3,1;4;48;
99;1861;3;10,1;3,4;1;43,1;
100;1861;4;11,8;3;5;17,7;
101;1861;5;16,1;6,5;1;34,9;
102;1861;6;20;11,2;0;79,9;
103;1861;7;19,7;12;0;130,8;
104;1861;8;21,6;12,7;0;15,1;
105;1861;9;17,9;9,9;0;49,6;
106;1861;10;16,2;9,5;0;40,8;
107;1861;11;8,4;1,6;10;78,4;
108;1861;12;7;1,5;12;41,9;
109;1862;1;6,6;2,2;8;62,2;
110;1862;2;7,3;3,4;4;7,3;
111;1862;3;9,4;3,9;4;138,9;
112;1862;4;12,9;6,2;4;57,6;
113;1862;5;17,6;9,2;0;95,5;
114;1862;6;18,1;9,6;0;56,8;
115;1862;7;19,9;10,6;0;44,8;
116;1862;8;20;10,5;0;44,7;
117;1862;9;18,2;9,9;0;55,1;
118;1862;10;14,5;7,6;1;73,1;
119;1862;11;6,7;0,4;14;25,3;
120;1862;12;9,2;3,8;0;36;
121;1863;1;7,7;2,5;2;82,1;
122;1863;2;9,1;2,7;7;17,1;
123;1863;3;10,8;1,9;9;17,3;
124;1863;4;14,2;4,7;2;35,5;
125;1863;5;16,4;6;0;23,2;
126;1863;6;19,3;9,6;0;86,6;
127;1863;7;21,8;9,5;0;17;
128;1863;8;21,2;11,9;0;67,1;
129;1863;9;15,8;7,6;0;70,3;
130;1863;10;14,1;7;2;75,5;
131;1863;11;10,3;4,6;6;51,1;
132;1863;12;9,1;3,3;6;27,7;
133;1864;1;4,8;-0,2;13;25;
134;1864;2;5,5;0;16;36,9;
135;1864;3;9,6;1,4;8;62,7;
136;1864;4;14,2;4,3;0;41,4;
137;1864;5;18,2;7,9;0;54,8;
138;1864;6;19,8;9,8;0;25,6;
139;1864;7;22,8;10,3;0;12;
140;1864;8;21;8,8;0;19,8;
141;1864;9;18,3;9,4;0;74,9;
142;1864;10;13,6;6,8;0;39,8;
143;1864;11;8,9;2;8;59,4;
144;1864;12;5,6;1,3;13;9,5;
145;1865;1;4,7;-0,9;14;78,1;
146;1865;2;5;0,2;13;52,9;
147;1865;3;6;-0,2;13;24,9;
148;1865;4;17,2;5,4;3;23,3;
149;1865;5;18,4;8,1;0;55,8;
150;1865;6;21,9;10,8;0;89,1;
151;1865;7;22,3;12,5;0;71,1;
152;1865;8;20;10,8;0;79;
153;1865;9;22,3;10,9;0;4,7;
154;1865;10;14,6;6,1;0;137,7;
155;1865;11;10,3;4;6;65,7;
156;1865;12;8,4;3,4;4;49,8;
157;1866;1;8,6;3,4;5;73,1;
158;1866;2;7,9;1,3;11;73,2;
159;1866;3;8,4;1,8;9;42,7;
160;1866;4;13,6;4,7;3;52,2;
161;1866;5;15,7;4,8;2;42,6;
162;1866;6;21,9;11,1;0;81,7;
163;1866;7;21,7;11,2;0;50,4;
164;1866;8;19,8;11,3;0;75,1;
165;1866;9;17;10,3;0;145,4;
166;1866;10;14,2;8;0;53,4;
167;1866;11;10,7;3,7;7;38,8;
168;1866;12;9,2;3,3;7;51,6;
169;1867;1;4,6;-1,1;18;65,8;
170;1867;2;10,1;4,4;1;39,3;
171;1867;3;6;0,5;16;73,4;
172;1867;4;14;6,6;0;66,1;
173;1867;5;16,8;6,8;3;63,9;
174;1867;6;20;9,6;0;49,1;
175;1867;7;20,3;10,5;0;99,7;
176;1867;8;21,5;11,8;0;60,8;
177;1867;9;18,4;9,6;0;41,6;
178;1867;10;13,5;6,3;1;72,5;
179;1867;11;8,4;1,6;10;24,4;
180;1867;12;6,2;0,1;18;35,7;
181;1868;1;5,9;1,7;11;87,2;
182;1868;2;9,8;3,3;5;42,3;
183;1868;3;11,1;2,9;6;38,7;
184;1868;4;14,1;4,6;5;39,7;
185;1868;5;20,4;7,8;0;14,9;
186;1868;6;23,6;9,4;0;23,6;
187;1868;7;25,8;12,7;0;47,5;
188;1868;8;22,1;12,5;0;85,8;
189;1868;9;19,7;9,4;0;101,3;
190;1868;10;12,7;5;3;57;
191;1868;11;7,9;2,6;7;30,7;
192;1868;12;10,4;5,2;2;105,3;
193;1869;1;8,2;3;5;96,3;
194;1869;2;10,5;5,1;1;55,2;
195;1869;3;7,1;1,1;10;33,1;
196;1869;4;16;6;0;29,8;
197;1869;5;15,5;6,5;0;75,9;
198;1869;6;18,9;8,8;0;36,2;
199;1869;7;24,1;12,4;0;27;
200;1869;8;21,5;10,7;0;33,6;
201;1869;9;19;11,3;0;112,1;
202;1869;10;13,9;6,1;4;28,1;
203;1869;11;10;3,2;8;61,3;
204;1869;12;5,6;1;9;87,5;
205;1870;1;5,9;1,3;10;30,2;
206;1870;2;5,1;0,8;13;48,7;
207;1870;3;8,3;1,5;13;42,6;
208;1870;4;15,6;3,7;4;13,5;
209;1870;5;18;6,3;2;26,3;
210;1870;6;22,3;11,2;0;17,3;
211;1870;7;24,9;13;0;22,6;
212;1870;8;21,4;10,6;0;59,8;
213;1870;9;18,3;8,2;0;33,8;
214;1870;10;14,1;6,7;0;74,6;
215;1870;11;8,3;2,1;10;29,6;
216;1870;12;3,2;-2,3;19;50,9;
217;1871;1;2,7;-1,2;20;28,2;
218;1871;2;9;3,8;4;25,1;
219;1871;3;11,9;3,2;4;24,3;
220;1871;4;13,8;5,3;4;67,1;
221;1871;5;17;5,8;0;11;
222;1871;6;17,5;9;0;81,3;
223;1871;7;21,1;11,9;0;96,3;
224;1871;8;23,8;12;0;13;
225;1871;9;17,9;9,6;0;118,8;
226;1871;10;14,1;6;2;30,4;
227;1871;11;6,4;0,2;14;18,4;
228;1871;12;6;0,9;12;27,4;
229;1872;1;7,9;2,6;5;103,7;
230;1872;2;10,1;4,7;0;38,6;
231;1872;3;11,2;3,6;8;49,1;
232;1872;4;13,9;4,5;2;48;
233;1872;5;15,2;5,9;1;65,2;
234;1872;6;20,4;10,2;0;74,1;
235;1872;7;23,7;12,9;0;75,9;
236;1872;8;21;11,3;0;30,1;
237;1872;9;18,3;10;0;25,5;
238;1872;10;12,6;5,2;1;74,4;
239;1872;11;10,1;4,6;1;80,8;
240;1872;12;7,9;3,5;6;96,9;
241;1873;1;7,8;3,2;9;56,3;
242;1873;2;4,2;-0,1;13;40,9;
243;1873;3;9,7;2,2;3;60,1;
244;1873;4;12,8;3,9;3;12,2;
245;1873;5;16,1;5,4;1;59,3;
246;1873;6;20;10,3;0;70,7;
247;1873;7;22,6;11,8;0;57,3;
248;1873;8;21,6;12,6;0;66,8;
249;1873;9;16,9;7,8;0;45,9;
250;1873;10;12,9;4,7;6;68,6;
251;1873;11;9,6;3,8;4;43,7;
252;1873;12;7,3;2,1;10;12,3;
253;1874;1;8,6;3;6;58,8;
254;1874;2;7,1;1;12;43,2;
255;1874;3;11;3,1;8;15,8;
256;1874;4;15,7;5,4;1;32,5;
257;1874;5;15,7;6;1;39,7;
258;1874;6;20,4;9;0;17,6;
259;1874;7;25,3;11,8;0;12,8;
260;1874;8;21,2;11,2;0;45,9;
261;1874;9;18,6;10,4;0;85,7;
262;1874;10;14,7;7,8;0;80;
263;1874;11;8,7;2,5;9;64,6;
264;1874;12;3,5;-2,3;22;46,8;
265;1875;1;9,3;4,9;2;90,4;
266;1875;2;4,5;-0,4;20;37,3;
267;1875;3;8,6;2,4;9;28,5;
268;1875;4;13,4;3,5;3;37,6;
269;1875;5;18,3;7,8;0;45,1;
270;1875;6;20,6;10,5;0;75,8;
271;1875;7;19,9;11,1;0;119,2;
272;1875;8;21,9;12,8;0;45,9;
273;1875;9;20,1;11,4;0;51,9;
274;1875;10;12,6;6,4;0;192,9;
275;1875;11;8,4;3,6;5;97,2;
276;1875;12;6,2;2,4;9;22,5;
277;1876;1;5,5;0,6;14;43,9;
278;1876;2;8,1;3;5;72,8;
279;1876;3;8,6;1,9;8;87,4;
280;1876;4;13;4,8;2;73,3;
281;1876;5;15,4;4,7;1;20,4;
282;1876;6;20,8;10;0;52,8;
283;1876;7;24,5;13,1;0;21,8;
284;1876;8;23,8;11,9;0;68,3;
285;1876;9;17,4;9,8;0;148,6;
286;1876;10;14,8;8,8;0;25,9;
287;1876;11;9,7;4,1;5;83,2;
288;1876;12;8,8;4,9;4;130,2;
289;1877;1;9,3;3,2;3;118,5;
290;1877;2;9,4;4;3;39,9;
291;1877;3;9;2,2;9;50,5;
292;1877;4;12,1;4,3;0;55;
293;1877;5;14,5;5,5;4;58,4;
294;1877;6;22,2;10,5;0;25,5;
295;1877;7;21,1;11,1;0;85,4;
296;1877;8;20,5;11,9;0;87,3;
297;1877;9;15,9;7,6;0;63,5;
298;1877;10;13,7;5,2;2;43,1;
299;1877;11;10,8;4,3;0;98,2;
300;1877;12;7,8;2,3;7;44,6;
301;1878;1;7,5;2,6;8;44,3;
302;1878;2;8,8;4,2;4;34,2;
303;1878;3;9,5;2,2;9;19,5;
304;1878;4;14,1;5,5;3;58,4;
305;1878;5;17,7;8,4;0;126,7;
306;1878;6;21,1;11,1;0;49;
307;1878;7;22,2;12,6;0;29,1;
308;1878;8;21,7;13,1;0;130,7;
309;1878;9;18,1;9,4;0;34,4;
310;1878;10;14,1;7,4;0;54,1;
311;1878;11;6,6;2,6;5;58,1;
312;1878;12;3,1;-2;20;38,6;
313;1879;1;1,6;-2,8;27;76,5;
314;1879;2;6;1,1;9;84,6;
315;1879;3;8,6;1,1;10;22,3;
316;1879;4;9,5;2,4;7;62,1;
317;1879;5;12,9;5,2;3;57,6;
318;1879;6;17;10,2;0;110,7;
319;1879;7;17,5;11,4;0;86,8;
320;1879;8;18,7;11,8;0;128,7;
321;1879;9;16,6;9,5;0;73,6;
322;1879;10;12,2;6;0;18,6;
323;1879;11;6,7;0,9;13;17,4;
324;1879;12;3,7;-3,2;24;18,7;
325;1880;1;3;-2,5;22;11,1;
326;1880;2;9;2,4;5;60,9;
327;1880;3;11,7;2,5;7;35,3;
328;1880;4;12,2;4,7;1;48,7;
329;1880;5;15,9;6,4;0;21,1;
330;1880;6;17,9;10;0;87,6;
331;1880;7;19,7;12,2;0;155,1;
332;1880;8;20,5;13,2;0;12,7;
333;1880;9;19,8;11,5;0;88,6;
334;1880;10;12,2;4,9;3;133,5;
335;1880;11;9,8;3,1;9;47,8;
336;1880;12;9,3;3,6;5;75,7;
337;1881;1;1,8;-4;20;31,9;
338;1881;2;6,3;1,5;10;70,2;
339;1881;3;10,3;2,1;11;37,7;
340;1881;4;12,9;3,1;7;19,9;
341;1881;5;17,7;6,9;1;31,9;
342;1881;6;19,2;10,3;0;48;
343;1881;7;22,7;12,5;0;63,7;
344;1881;8;19,2;10,8;0;118,2;
345;1881;9;17,6;9,5;0;35,5;
346;1881;10;11,9;4,2;5;42,8;
347;1881;11;12,5;6,9;0;82;
348;1881;12;7,1;2,1;7;75,5;
349;1882;1;7,7;2,8;6;28,4;
350;1882;2;9,2;3,5;3;38,8;
351;1882;3;12,6;4;3;28,2;
352;1882;4;13,7;5,1;1;99,7;
353;1882;5;17,4;7,3;0;47;
354;1882;6;17,5;9,7;0;83,8;
355;1882;7;20;11,9;0;82,2;
356;1882;8;19,9;11,5;0;33,8;
357;1882;9;17,3;8,3;0;51,4;
358;1882;10;13,6;7,2;1;147,9;
359;1882;11;9,6;3,5;3;84,8;
360;1882;12;7,2;2,5;9;80,3;
361;1883;1;8,2;3,3;3;57,8;
362;1883;2;9,9;4;0;95,1;
363;1883;3;7,2;-1,2;22;24;
364;1883;4;14;4,5;3;25,7;
365;1883;5;16,2;7,1;1;47,9;
366;1883;6;19,6;10,1;0;91,7;
367;1883;7;18,8;11,2;0;87,9;
368;1883;8;21;11,8;0;18,7;
369;1883;9;17,5;10,4;0;98,4;
370;1883;10;13,8;7,4;0;48,2;
371;1883;11;10,3;3,3;4;79,4;
372;1883;12;7,3;2,7;5;11,4;
373;1884;1;9,5;5,1;0;55,7;
374;1884;2;8,9;3,1;4;32,2;
375;1884;3;10,9;3;4;39,3;
376;1884;4;11,7;3,1;6;40,2;
377;1884;5;17,6;6,6;0;19,4;
378;1884;6;19,5;9,9;0;54,6;
379;1884;7;21,5;12,4;0;57,5;
380;1884;8;23,9;12;0;38,7;
381;1884;9;19,7;10,9;0;31,2;
382;1884;10;13,7;6,1;0;19,4;
383;1884;11;8,8;2,6;10;41,4;
384;1884;12;7,3;2,9;4;51,3;
385;1885;1;5;0,9;14;49,4;
386;1885;2;9,8;3,8;4;73,3;
387;1885;3;9,4;1,2;10;29,8;
388;1885;4;13;3,6;4;45;
389;1885;5;13,7;5,3;0;53,5;
390;1885;6;19,8;9,8;0;39,9;
391;1885;7;22,7;11,9;0;3,1;
392;1885;8;18,9;9,9;0;41,7;
393;1885;9;17,1;8,6;0;111,9;
394;1885;10;11,2;4,8;0;98,4;
395;1885;11;8,4;4;5;91;
396;1885;12;6,4;1,3;11;24,8;
397;1886;1;4,6;-0,5;15;97,6;
398;1886;2;3,3;-1,1;20;19,9;
399;1886;3;7,8;1,5;17;41,8;
400;1886;4;12,9;3,8;4;59;
401;1886;5;15,7;7;0;122,3;
402;1886;6;18,6;9,5;0;33,6;
403;1886;7;21,8;12;0;93,5;
404;1886;8;21,2;12;0;39,7;
405;1886;9;19;10,3;0;49,7;
406;1886;10;15,1;8,7;0;88,1;
407;1886;11;9,5;3,8;5;64,3;
408;1886;12;5,5;-0,3;13;120,8;
409;1887;1;4,7;-0,5;15;65,3;
410;1887;2;7,5;0,5;17;15,2;
411;1887;3;7,3;-0,1;13;45,7;
412;1887;4;11,6;1,9;5;29,1;
413;1887;5;14,4;6,1;0;49,9;
414;1887;6;21,6;10,2;0;32,8;
415;1887;7;24;12,4;0;18;
416;1887;8;22,2;10,5;0;40,5;
417;1887;9;16,3;8,1;0;61,2;
418;1887;10;11,5;3,5;6;53,7;
419;1887;11;7,8;2,2;8;46;
420;1887;12;5,7;0,3;17;35,3;
421;1888;1;5,6;0,7;17;19,8;
422;1888;2;4,1;-0,7;20;71,7;
423;1888;3;6,9;0,9;15;77,6;
424;1888;4;10,4;3;8;39,5;
425;1888;5;16,3;6,3;0;39,4;
426;1888;6;18,3;9,6;0;77;
427;1888;7;18;10,9;0;119,6;
428;1888;8;19;10,5;0;47,6;
429;1888;9;17,6;8,8;0;33;
430;1888;10;13;3,7;9;19,5;
431;1888;11;10,5;6;0;114,8;
432;1888;12;7,6;2,5;11;56,8;
433;1889;1;5,1;-0,1;14;16,1;
434;1889;2;5,8;-0,4;17;47,7;
435;1889;3;9;1,4;12;50,4;
436;1889;4;10,9;3,8;1;79;
437;1889;5;17,3;8,9;0;87,4;
438;1889;6;20,6;10,9;0;50,5;
439;1889;7;20;11,3;0;72,4;
440;1889;8;19,6;10,8;0;60,7;
441;1889;9;17,5;9,1;0;45,2;
442;1889;10;12,8;5,4;1;62,5;
443;1889;11;9,5;4,3;4;26,5;
444;1889;12;5,6;0,1;16;30,1;
445;1890;1;8,7;3,3;3;51;
446;1890;2;6,3;0,3;12;18,7;
447;1890;3;10,1;2,6;5;21,9;
448;1890;4;11,9;3;6;25,8;
449;1890;5;17;6,6;0;45,2;
450;1890;6;19;9,7;0;44,6;
451;1890;7;19,3;11,2;0;77,2;
452;1890;8;19,4;10,8;0;62,7;
453;1890;9;20,2;9,9;0;26,3;
454;1890;10;14;5,7;1;33,6;
455;1890;11;9,2;3;7;47,1;
456;1890;12;0,2;-4;25;13,3;
457;1891;1;4,3;-1,9;20;39,4;
458;1891;2;8,9;-0,2;13;2,5;
459;1891;3;7,9;0,9;13;35,4;
460;1891;4;11,2;2,2;5;24;
461;1891;5;14,1;5,6;2;65,8;
462;1891;6;19,9;10,4;0;36,3;
463;1891;7;19,3;10,7;0;62,3;
464;1891;8;18;10,9;0;119,7;
465;1891;9;18,6;9,8;0;36,8;
466;1891;10;13,2;6,6;1;150,1;
467;1891;11;8,4;3,2;3;62,6;
468;1891;12;7,3;1,6;9;86,1;
469;1892;1;4,8;-0,3;18;12;
470;1892;2;6,4;0,9;9;18,6;
471;1892;3;6,9;-0,9;23;9,5;
472;1892;4;14,3;1,7;10;19,5;
473;1892;5;17,1;6,9;3;32,8;
474;1892;6;19,2;8,7;0;52,7;
475;1892;7;18,9;10,3;0;84,4;
476;1892;8;20,4;11,5;0;78,7;
477;1892;9;16,9;8,9;0;59,1;
478;1892;10;11,1;4;4;85,6;
479;1892;11;9,4;3,8;6;49,2;
480;1892;12;4,7;-0,6;17;25,3;
481;1893;1;4,4;-0,3;15;43,1;
482;1893;2;8;2,5;5;69,4;
483;1893;3;13,7;1,7;12;9,4;
484;1893;4;18;3,9;2;1,5;
485;1893;5;19,4;7,7;0;23,1;
486;1893;6;21,8;10,2;0;19,6;
487;1893;7;21,6;12,5;0;98,9;
488;1893;8;23,2;13;0;27,7;
489;1893;9;18,6;8,9;0;16;
490;1893;10;14,3;6,6;1;73,5;
491;1893;11;8,2;1,7;12;42,5;
492;1893;12;7,8;1,3;5;47,7;
493;1894;1;6,1;1,2;9;49,6;
494;1894;2;8,6;2,2;7;41,3;
495;1894;3;11,8;2,2;5;45;
496;1894;4;15;5,1;0;46,9;
497;1894;5;14,1;5,3;1;39,3;
498;1894;6;18,2;9,9;0;74;
499;1894;7;20,6;12;0;84,8;
500;1894;8;18,6;11;0;69,7;
501;1894;9;16;8,3;0;47,1;
502;1894;10;12,5;6,9;1;89,4;
503;1894;11;10,6;5,4;0;126,1;
504;1894;12;7,5;2,8;9;52,6;
505;1895;1;3,1;-1,8;20;66,3;
506;1895;2;1,8;-5,3;24;4,4;
507;1895;3;10;2;9;39,2;
508;1895;4;13,1;5;1;46,4;
509;1895;5;19;7,3;0;4,6;
510;1895;6;21,4;9,8;0;28,6;
511;1895;7;20,4;12,2;0;91,5;
512;1895;8;20,5;12,1;0;62,5;
513;1895;9;22,4;9,9;0;16,4;
514;1895;10;11,6;3,9;8;76,6;
515;1895;11;11,1;5,4;1;113,5;
516;1895;12;6,8;1,9;6;56,5;
517;1896;1;7,2;2,4;5;16,8;
518;1896;2;8;1,4;9;10,1;
519;1896;3;11,4;4,3;3;69;
520;1896;4;14;5,4;0;17,5;
521;1896;5;18,2;6,6;1;6,1;
522;1896;6;21,9;12;0;65;
